,Latitude,Longitude,HydroSHEDS_ID,Aridity,Evaporative_index,Elevation,Slope,NDVI
157,27.7192,-6.4157,1050042940,1.905522609,0.50045877,418.5904,0.6569,0.099
158,-33.9108,-58.8731,6050016970,0.128253794,0.36636987,3.4707,0.3211,0.73
159,38.9734,-90.0554,7050569650,0.114139224,0.282841197,170.0208,1.3076,0.575
160,-1.9187,111.5078,5050016380,0.060429772,0.208264227,119.9523,5.9735,0.739
161,8.8909,13.652,1050839560,0.12462626,0.318938034,471.364,3.0367,0.518
162,-25.4399,125.2618,5050088290,0.535844679,0.392296873,441.5732,0.5274,0.249
163,-18.1308,20.5847,1051479650,0.21843229,0.392829999,1084.0726,0.3392,0.453
164,39.5132,103.0677,4050051880,0.81053046,0.390900481,1419.8273,2.6646,0.06
165,-33.8868,-71.5379,6050027230,0.338415274,0.42309915,182.7,6.4172,0.607
166,18.0543,-100.0112,7050849630,0.131647524,0.248011104,1242.8193,16.1601,0.643
167,14.2618,-7.8225,1050634970,0.199180546,0.374414763,342.8286,0.9042,0.346
168,-15.5627,30.5549,1051431940,0.178201176,0.355978035,441.7718,3.1626,0.55
